آرام سمندر;Тихий океан
لهجه;лингв. диалект
لور;серп
لوگزامبورگ;Люксембург
لومړۍ;первый
لوې;большой
ليکوال;писатель
لېوه;зоол. волк (Canis lupus)
مار;зоол. змея (serpens)
ماشين;машина
مالګه;соль
مالېکول;хим. молекула
مانتېنېگرو;Черногория
ماڼۍ;здание, строение
مټ;анат. рука
مچئِي;энтомол. пчела
مخ;страница
مذهب;религия; вероисповедание
مرغلره;жемчуг
مرغه;зоол. птица
مړ;мёртвый
مړل;умирать
مړينه;смерть
مس;хим. медь
مشت;кулак
معدن;минерал
مګنيزيم;хим. магний
ملاريا;мед. малярия
ملګرۍ;друг
منګال;большой серп
منۍ;осень
مڼه;яблоко (плод яблони)
مور;павлин
موریتانیا;Мавритания
موږ;мы
موږک;зоол. мышь (mus)
موسكا;улыбка
مياشت;месяц
مېخ;гвоздь
مېږۍ;муравей
مېلمه;гость
ناروې;Норвегия
نايتروجن;хим. азот
نهم;девятый
نهه;девять
نور;свет
نوم;имя
نومبر;ноябрь
نيپال;Непал
نيکل;хим. никель
نيوټرون;физ. нейтрон
نیکاراگوا;Никарагуа
نیکوتین;никотин
نېمبیا;Намибия
هاندوراس;Гондурас
هديه;подарок
هسك;небо
هګۍ;яйцо
هماليۀ;Гималаи
همېل;колье, ожерелье
هند;Индия
هنداره;зеркало
هندويزم;религ. индуизм
هندي سمندر;Индийский океан
هنګری;Венгрия
هوا;погода
هوټل;ресторан
هېلۍ;орнитол. утка
واورتون;дом из снега
واوره;снег
وچکښ;карандаш
وخت;время
ودان;благоустроенный
ورځ;день
ورږه;зоол. блоха (Pulex)
وروځه;бровь
ورور;брат
ورېښم;шёлк
وزر;анат. крыло
وړوکتون;детский сад
وګړپوهنه;антропология
ولسمشر;президент
ولسولي;округ
وله;ботан. ива, верба (Salix)
ونه;дерево (растение)
وينه;кровь
وېره;страх
يروشلم;Иерусалим
يکشنبه;воскресенье
يو;один
يونی;путешественник
